set_number,features,best_eps,best_min_samples,best_silhouette_score,top10_eps,top10_min_samples,top10_eps_min,top10_eps_max,top10_min_samples_min,top10_min_samples_max
2146,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq']",1.0,10.0,0.1655336161342763,"[np.int64(1), np.int64(1), np.int64(1)]","[10, 15, 5]",1.0,1.0,5.0,15.0
2147,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",1.0,15.0,-0.03596540734170739,"[np.int64(1), np.int64(1), np.int64(1)]","[15, 10, 5]",1.0,1.0,5.0,15.0
2148,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",1.0,10.0,-0.012860168629126496,"[np.int64(1), np.int64(1), np.int64(1)]","[10, 5, 15]",1.0,1.0,5.0,15.0
2149,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",1.0,5.0,0.001623462309329367,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1.0,1.0,5.0,15.0
2150,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq']",2.0,5.0,0.3792334095488386,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 15, 10, 5]",1.0,2.0,5.0,15.0
2151,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",2.0,5.0,0.3461467901539434,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 10, 15, 5]",1.0,2.0,5.0,15.0
2152,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",2.0,5.0,0.3460962757242789,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 10, 15, 5]",1.0,2.0,5.0,15.0
2153,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",2.0,5.0,0.3198837038304708,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15]",1.0,2.0,5.0,15.0
2154,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",2.0,5.0,0.3842048480168812,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 5, 10, 15]",1.0,3.0,5.0,15.0
2155,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",2.0,5.0,0.35080114466646134,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 10, 15, 5]",1.0,3.0,5.0,15.0
2156,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",2.0,5.0,0.3507386866915764,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 5, 15, 10]",1.0,3.0,5.0,15.0
2157,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",3.0,5.0,0.35306600605906413,"[np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 5, 10, 15]",1.0,3.0,5.0,15.0
2158,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84']",1.0,5.0,0.15152378258981028,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1.0,1.0,5.0,15.0
2159,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",1.0,5.0,-0.10793799904972859,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 15, 10]",1.0,1.0,5.0,15.0
2160,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",1.0,15.0,-0.0616598964520039,"[np.int64(1), np.int64(1), np.int64(1)]","[15, 5, 10]",1.0,1.0,5.0,15.0
2161,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']",1.0,5.0,-0.1197952990124763,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1.0,1.0,5.0,15.0
2162,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']",1.0,5.0,0.028394643017854663,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1.0,1.0,5.0,15.0
2163,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']",1.0,5.0,-0.1267908748003379,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1.0,1.0,5.0,15.0
2164,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']",2.0,15.0,0.1581441362758589,"[np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[15, 5, 10, 15]",1.0,2.0,5.0,15.0
2165,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']",2.0,15.0,0.170337514289117,"[np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[15, 5, 10, 15]",1.0,2.0,5.0,15.0
2166,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']",2.0,5.0,0.35531156647482415,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 5, 10, 15]",1.0,3.0,5.0,15.0
2167,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']",2.0,5.0,0.3276122821854316,"[np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 5, 10, 15, 15, 5, 10]",1.0,3.0,5.0,15.0
2168,"['OCC_YEAR', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']",2.0,5.0,0.3276355263273898,"[np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 5, 10, 15, 15, 10, 5, 15]",1.0,3.0,5.0,15.0
