Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
513,6,"['OCC_DAY', 'DOW_Category_Freq', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.23716710711542888,1.4313674171395592,1357.1693781765928,23.716710711542888,0.40600238430543617,0.9534358195520568,40.60023843054362,2.0,3
514,4,"['OCC_DOY', 'OCC_HOUR', 'Division_Freq', 'LOCATION_Freq']",0.24459231877737517,1.3134205503503245,1602.7270083879719,24.459231877737516,0.3177434155542263,1.2844454706547475,31.77434155542263,1.3,3
515,4,"['OCC_DOY', 'OCC_HOUR', 'Division_Freq', 'PREMISES_Freq']",0.2662065371129082,1.2885169546883484,1717.1398799638794,26.62065371129082,0.30662851657490464,1.3070586713313843,30.662851657490464,1.2,3
516,4,"['OCC_DOY', 'OCC_HOUR', 'Division_Freq', 'Loca_Premi_Freq']",0.2679827184184619,1.2800076659901314,1723.8606990882408,26.798271841846187,0.30862218980728734,1.3112521075113843,30.862218980728734,1.1,3
517,4,"['OCC_DOY', 'OCC_HOUR', 'HOOD_Freq', 'LOCATION_Freq']",0.354571927171083,1.0357274726634964,2385.6534432983126,35.4571927171083,0.4912864672895295,0.8761705146018117,49.12864672895295,1.6,3
518,4,"['OCC_DOY', 'OCC_HOUR', 'HOOD_Freq', 'PREMISES_Freq']",0.2927792615897104,1.1869796049803807,1645.2890856278584,29.27792615897104,0.48960858495572046,0.885529791343651,48.96085849557205,1.9,3
519,4,"['OCC_DOY', 'OCC_HOUR', 'HOOD_Freq', 'Loca_Premi_Freq']",0.35662648145318737,1.0506422527100578,2325.922338738092,35.662648145318734,0.49183153919440675,0.8927034460201043,49.18315391944068,2.0,3
520,4,"['OCC_DOY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.3023683211849002,1.1389282708541448,1687.3727291078492,30.23683211849002,0.4972616188460755,0.8659628382758638,49.72616188460755,1.6,3
521,4,"['OCC_DOY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.2952088529988613,1.1826582549034832,1645.0967110902163,29.520885299886128,0.49555773185426494,0.8752725998534283,49.555773185426496,1.9,3
522,4,"['OCC_DOY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.3001280152662734,1.0935692045854046,2156.923790620445,30.012801526627342,0.4976947358862781,0.8823759082324685,49.76947358862781,2.0,3
523,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'LOCATION_Freq']",0.2632110371494301,1.2801999224539944,1657.552379996155,26.32110371494301,0.3199676147181327,1.2921494793319,31.99676147181327,1.3,3
524,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'PREMISES_Freq']",0.21622463548971305,1.369325349844129,1352.0174522540071,21.622463548971304,0.313153565729419,1.313707069260129,31.315356572941898,1.2,3
525,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Loca_Premi_Freq']",0.21756268054057168,1.3548618424500263,1352.657951071081,21.756268054057166,0.3131561041710065,1.3182061769045776,31.315610417100647,1.1,3
526,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq']",0.2546245509720578,1.316063122912835,1605.3432402733572,25.462455097205776,0.25014561557070725,1.663824807516818,25.014561557070724,1.0,3
