set_number,features
738,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
739,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
740,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
741,"['OCC_DAY', 'OCC_DOY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
742,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LOCATION_Freq']"
743,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'PREMISES_Freq']"
744,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'Loca_Premi_Freq']"
745,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'Division_Freq']"
746,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'Division_Freq', 'LOCATION_Freq']"
747,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'Division_Freq', 'PREMISES_Freq']"
748,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'Division_Freq', 'Loca_Premi_Freq']"
749,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'HOOD_Freq']"
750,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'HOOD_Freq', 'LOCATION_Freq']"
751,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'HOOD_Freq', 'PREMISES_Freq']"
752,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'HOOD_Freq', 'Loca_Premi_Freq']"
753,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'DIV_HOOD_Hier']"
754,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
755,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
756,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
757,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA']"
758,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
759,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
760,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
761,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq']"
762,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
763,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
764,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
765,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
766,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
767,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
768,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
769,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
770,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
771,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
772,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
773,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84']"
774,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
775,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
776,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
777,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
778,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
779,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
780,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
781,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
782,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
783,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
784,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
785,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
786,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
787,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
788,"['OCC_DAY', 'OCC_DOY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
789,"['OCC_DAY', 'OCC_MONTH_Num', 'Division_Freq', 'LOCATION_Freq']"
790,"['OCC_DAY', 'OCC_MONTH_Num', 'Division_Freq', 'PREMISES_Freq']"
791,"['OCC_DAY', 'OCC_MONTH_Num', 'Division_Freq', 'Loca_Premi_Freq']"
792,"['OCC_DAY', 'OCC_MONTH_Num', 'HOOD_Freq', 'LOCATION_Freq']"
793,"['OCC_DAY', 'OCC_MONTH_Num', 'HOOD_Freq', 'PREMISES_Freq']"
794,"['OCC_DAY', 'OCC_MONTH_Num', 'HOOD_Freq', 'Loca_Premi_Freq']"
795,"['OCC_DAY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
796,"['OCC_DAY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
797,"['OCC_DAY', 'OCC_MONTH_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
798,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
799,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
800,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
801,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq']"
802,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
803,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
804,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
805,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
806,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
807,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
808,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
809,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
810,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
811,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
812,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
813,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84']"
814,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
815,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
816,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
817,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
818,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
819,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
820,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
821,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
822,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
823,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
824,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
825,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
826,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
827,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
828,"['OCC_DAY', 'OCC_MONTH_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
829,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LOCATION_Freq']"
830,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'PREMISES_Freq']"
831,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'Loca_Premi_Freq']"
832,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'Division_Freq']"
833,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'Division_Freq', 'LOCATION_Freq']"
834,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'Division_Freq', 'PREMISES_Freq']"
835,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'Division_Freq', 'Loca_Premi_Freq']"
836,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'HOOD_Freq']"
837,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'HOOD_Freq', 'LOCATION_Freq']"
838,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'HOOD_Freq', 'PREMISES_Freq']"
839,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'HOOD_Freq', 'Loca_Premi_Freq']"
840,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'DIV_HOOD_Hier']"
841,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
842,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
843,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
844,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA']"
845,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
846,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
847,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
848,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq']"
849,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
850,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
851,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
852,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
853,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
854,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
855,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
856,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
857,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
858,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
859,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
860,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84']"
861,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
862,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
863,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
864,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
865,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
866,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
867,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
868,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
869,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
870,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
871,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
872,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
873,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
874,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
875,"['OCC_DAY', 'OCC_MONTH_Num', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
876,"['OCC_DAY', 'OCC_HOUR', 'Division_Freq', 'LOCATION_Freq']"
877,"['OCC_DAY', 'OCC_HOUR', 'Division_Freq', 'PREMISES_Freq']"
878,"['OCC_DAY', 'OCC_HOUR', 'Division_Freq', 'Loca_Premi_Freq']"
879,"['OCC_DAY', 'OCC_HOUR', 'HOOD_Freq', 'LOCATION_Freq']"
880,"['OCC_DAY', 'OCC_HOUR', 'HOOD_Freq', 'PREMISES_Freq']"
881,"['OCC_DAY', 'OCC_HOUR', 'HOOD_Freq', 'Loca_Premi_Freq']"
882,"['OCC_DAY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
883,"['OCC_DAY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
884,"['OCC_DAY', 'OCC_HOUR', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
885,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'LOCATION_Freq']"
886,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'PREMISES_Freq']"
887,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
888,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq']"
889,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
890,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
891,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
892,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq']"
893,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
894,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
895,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
896,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
897,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
898,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
899,"['OCC_DAY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
900,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84']"
901,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
902,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
903,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
904,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
905,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
906,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
907,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
908,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
909,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
910,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
911,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
912,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
913,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
914,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
915,"['OCC_DAY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
916,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LOCATION_Freq']"
917,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'PREMISES_Freq']"
918,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'Loca_Premi_Freq']"
919,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'Division_Freq']"
920,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'Division_Freq', 'LOCATION_Freq']"
921,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'Division_Freq', 'PREMISES_Freq']"
922,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'Division_Freq', 'Loca_Premi_Freq']"
923,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'HOOD_Freq']"
924,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'HOOD_Freq', 'LOCATION_Freq']"
925,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'HOOD_Freq', 'PREMISES_Freq']"
926,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'HOOD_Freq', 'Loca_Premi_Freq']"
927,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'DIV_HOOD_Hier']"
928,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
929,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
930,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
931,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA']"
932,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
933,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
934,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
935,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq']"
936,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
937,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
938,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
939,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
940,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
941,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
942,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
943,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
944,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
945,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
946,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
947,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84']"
948,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
949,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
950,"['OCC_DAY', 'OCC_HOUR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
