set_number,features
67,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
68,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
69,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
70,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq']"
71,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
72,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
73,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
74,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
75,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
76,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
77,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
78,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
79,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
80,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
81,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
82,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84']"
83,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
84,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
85,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
86,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
87,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
88,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
89,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
90,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
91,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
92,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
93,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
94,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
95,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
96,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
97,"['OCC_YEAR', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
98,"['OCC_DAY', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
99,"['OCC_DAY', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
100,"['OCC_DAY', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
101,"['OCC_DAY', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
102,"['OCC_DAY', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
103,"['OCC_DAY', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
104,"['OCC_DAY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
105,"['OCC_DAY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
