set_number,features,best_eps,best_min_samples,best_silhouette_score,top10_eps,top10_min_samples,top10_eps_min,top10_eps_max,top10_min_samples_min,top10_min_samples_max
2575,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'LOCATION_Freq']",1,10,-0.11460640767619791,"[np.int64(1), np.int64(1), np.int64(1)]","[10, 5, 15]",1,1,5,15
2576,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'PREMISES_Freq']",1,10,-0.07532614817214801,"[np.int64(1), np.int64(1), np.int64(1)]","[10, 15, 5]",1,1,5,15
2577,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Loca_Premi_Freq']",1,5,-0.12155398108358087,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 15, 10]",1,1,5,15
2578,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq']",1,5,-0.08862268454464398,"[np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15]",1,1,5,15
2579,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",2,15,0.1457904719956088,"[np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[15, 10, 5, 15]",1,2,5,15
2580,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",2,10,0.19380648931420907,"[np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[10, 15, 5, 10, 15]",1,2,5,15
2581,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",2,10,0.18668444957179836,"[np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[10, 15, 10, 5, 15]",1,2,5,15
2582,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq']",2,5,0.3421455728760504,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[5, 10, 15, 15, 10, 5]",1,2,5,15
2583,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",2,10,0.2926284789803448,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[10, 5, 15, 10, 15, 5]",1,2,5,15
2584,"['OCC_YEAR', 'OCC_DAY', 'OCC_HOUR', 'OCC_MONTH_Num', 'DOW_Category_Freq', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",2,10,0.2937234716753273,"[np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(1)]","[10, 15, 5, 10, 5, 15]",1,2,5,15
